"Gemeindenummer","Gemeindename","Regionales Innovationssystem"
21,"Adlikon","RIS Ostschweiz"
22,"Benken (ZH)","RIS Ostschweiz"
23,"Berg am Irchel","RIS Ostschweiz"
24,"Buch am Irchel","RIS Ostschweiz"
25,"Dachsen","RIS Ostschweiz"
26,"Dorf","RIS Ostschweiz"
27,"Feuerthalen","RIS Ostschweiz"
28,"Flaach","RIS Ostschweiz"
29,"Flurlingen","RIS Ostschweiz"
30,"Andelfingen","RIS Ostschweiz"
31,"Henggart","RIS Ostschweiz"
32,"Humlikon","RIS Ostschweiz"
33,"Kleinandelfingen","RIS Ostschweiz"
34,"Laufen-Uhwiesen","RIS Ostschweiz"
35,"Marthalen","RIS Ostschweiz"
37,"Ossingen","RIS Ostschweiz"
38,"Rheinau","RIS Ostschweiz"
39,"Thalheim an der Thur","RIS Ostschweiz"
40,"Trüllikon","RIS Ostschweiz"
41,"Truttikon","RIS Ostschweiz"
43,"Volken","RIS Ostschweiz"
111,"Bäretswil","RIS Ostschweiz"
114,"Fischenthal","RIS Ostschweiz"
117,"Hinwil","RIS Ostschweiz"
120,"Wald (ZH)","RIS Ostschweiz"
181,"Wila","RIS Ostschweiz"
182,"Wildberg","RIS Ostschweiz"
226,"Schlatt (ZH)","RIS Ostschweiz"
228,"Turbenthal","RIS Ostschweiz"
294,"Elgg","RIS Ostschweiz"
297,"Bauma","RIS Ostschweiz"
301,"Aarberg","RIS Suisse occidentale"
301,"Aarberg","RIS Mittelland"
302,"Bargen (BE)","RIS Suisse occidentale"
302,"Bargen (BE)","RIS Mittelland"
303,"Grossaffoltern","RIS Suisse occidentale"
303,"Grossaffoltern","RIS Mittelland"
304,"Kallnach","RIS Suisse occidentale"
304,"Kallnach","RIS Mittelland"
305,"Kappelen","RIS Suisse occidentale"
305,"Kappelen","RIS Mittelland"
306,"Lyss","RIS Suisse occidentale"
306,"Lyss","RIS Mittelland"
307,"Meikirch","RIS Mittelland"
309,"Radelfingen","RIS Suisse occidentale"
309,"Radelfingen","RIS Mittelland"
310,"Rapperswil (BE)","RIS Suisse occidentale"
310,"Rapperswil (BE)","RIS Mittelland"
311,"Schüpfen","RIS Suisse occidentale"
311,"Schüpfen","RIS Mittelland"
312,"Seedorf (BE)","RIS Suisse occidentale"
312,"Seedorf (BE)","RIS Mittelland"
321,"Aarwangen","RIS Mittelland"
322,"Auswil","RIS Mittelland"
323,"Bannwil","RIS Mittelland"
