GMDHISTID,GDENR,GDENAME,GDE_Long,GDE_Lat,KTNR,GDEKT,GDEBZNR,GDEBZNA,Region,Region_distinct,Wirkungsbereich,RIS,RIS_distinct,Interkantonale Programme,Energieregion,Einwohner,Hauptort,Korrektur,KText
13273,6702,Boécourt,7.214965383,47.34933309,26,JU,2601,District de Delémont,Canton de Jura,Canton de Jura,Art. 1 Abs. 1,RIS Basel-Jura; RIS Suisse Occidentale,RIS Basel-Jura,Arc Jurassien,,947,,1,Kanton ausgeschrieben
13274,6703,Bourrignon,7.245230285,47.39705779,26,JU,2601,District de Delémont,Canton de Jura,Canton de Jura,Art. 1 Abs. 1,RIS Basel-Jura; RIS Suisse Occidentale,RIS Basel-Jura,Arc Jurassien,,265,,1,Kanton ausgeschrieben
13275,6704,Châtillon (JU),7.343378614,47.32702575,26,JU,2601,District de Delémont,Canton de Jura,Canton de Jura,Art. 1 Abs. 1,RIS Basel-Jura; RIS Suisse Occidentale,RIS Basel-Jura,Arc Jurassien,,469,,1,Kanton ausgeschrieben
13277,6706,Courchapoix,7.455829668,47.3486512,26,JU,2601,District de Delémont,Canton de Jura,Canton de Jura,Art. 1 Abs. 1,RIS Basel-Jura; RIS Suisse Occidentale,RIS Basel-Jura,Arc Jurassien,Agglomération de Delémont (AggloD),439,,1,Kanton ausgeschrieben
16127,6708,Courrendlin,7.373790314,47.3387398,26,JU,2601,District de Delémont,Canton de Jura,Canton de Jura,Art. 1 Abs. 1,RIS Basel-Jura; RIS Suisse Occidentale,RIS Basel-Jura,Arc Jurassien,Agglomération de Delémont (AggloD),3728,,1,Kanton ausgeschrieben
13280,6709,Courroux,7.375086264,47.36122635,26,JU,2601,District de Delémont,Canton de Jura,Canton de Jura,Art. 1 Abs. 1,RIS Basel-Jura; RIS Suisse Occidentale,RIS Basel-Jura,Arc Jurassien,Agglomération de Delémont (AggloD),3345,,1,Kanton ausgeschrieben
13281,6710,Courtételle,7.318213284,47.34049358,26,JU,2601,District de Delémont,Canton de Jura,Canton de Jura,Art. 1 Abs. 1,RIS Basel-Jura; RIS Suisse Occidentale,RIS Basel-Jura,Arc Jurassien,Agglomération de Delémont (AggloD),2652,,1,Kanton ausgeschrieben
13282,6711,Delémont,7.34595959,47.36390469,26,JU,2601,District de Delémont,Canton de Jura,Canton de Jura,Art. 1 Abs. 1,RIS Basel-Jura; RIS Suisse Occidentale,RIS Basel-Jura,Arc Jurassien,Agglomération de Delémont (AggloD),12479,2,1,Kanton ausgeschrieben
13283,6712,Develier,7.294353873,47.35575639,26,JU,2601,District de Delémont,Canton de Jura,Canton de Jura,Art. 1 Abs. 1,RIS Basel-Jura; RIS Suisse Occidentale,RIS Basel-Jura,Arc Jurassien,Agglomération de Delémont (AggloD),1359,,1,Kanton ausgeschrieben
13284,6713,Ederswiler,7.335247701,47.42595555,26,JU,2601,District de Delémont,Canton de Jura,Canton de Jura,Art. 1 Abs. 1,RIS Basel-Jura; RIS Suisse Occidentale,RIS Basel-Jura,Arc Jurassien,,117,,1,Kanton ausgeschrieben
13286,6715,Mervelier,7.502142765,47.34323878,26,JU,2601,District de Delémont,Canton de Jura,Canton de Jura,Art. 1 Abs. 1,RIS Basel-Jura; RIS Suisse Occidentale,RIS Basel-Jura,Arc Jurassien,,538,,1,Kanton ausgeschrieben
13680,6716,Mettembert,7.322055955,47.39806097,26,JU,2601,District de Delémont,Canton de Jura,Canton de Jura,Art. 1 Abs. 1,RIS Basel-Jura; RIS Suisse Occidentale,RIS Basel-Jura,Arc Jurassien,,111,,1,Kanton ausgeschrieben
13289,6718,Movelier,7.316730411,47.40974788,26,JU,2601,District de Delémont,Canton de Jura,Canton de Jura,Art. 1 Abs. 1,RIS Basel-Jura; RIS Suisse Occidentale,RIS Basel-Jura,Arc Jurassien,,421,,1,Kanton ausgeschrieben
13290,6719,Pleigne,7.290239393,47.4070184,26,JU,2601,District de Delémont,Canton de Jura,Canton de Jura,Art. 1 Abs. 1,RIS Basel-Jura; RIS Suisse Occidentale,RIS Basel-Jura,Arc Jurassien,,346,,1,Kanton ausgeschrieben
13292,6721,Rossemaison,7.342021167,47.34591278,26,JU,2601,District de Delémont,Canton de Jura,Canton de Jura,Art. 1 Abs. 1,RIS Basel-Jura; RIS Suisse Occidentale,RIS Basel-Jura,Arc Jurassien,Agglomération de Delémont (AggloD),710,,1,Kanton ausgeschrieben
13293,6722,Saulcy,7.154343216,47.30152854,26,JU,2601,District de Delémont,Canton de Jura,Canton de Jura,Art. 1 Abs. 1,RIS Basel-Jura; RIS Suisse Occidentale,RIS Basel-Jura,Arc Jurassien,,269,,1,Kanton ausgeschrieben
13295,6724,Soyhières,7.369750095,47.39270315,26,JU,2601,District de Delémont,Canton de Jura,Canton de Jura,Art. 1 Abs. 1,RIS Basel-Jura; RIS Suisse Occidentale,RIS Basel-Jura,Arc Jurassien,Agglomération de Delémont (AggloD),440,,1,Kanton ausgeschrieben
15624,6729,Haute-Sorne,7.245446773,47.33769573,26,JU,2601,District de Delémont,Canton de Jura,Canton de Jura,Art. 1 Abs. 1,RIS Basel-Jura; RIS Suisse Occidentale,RIS Basel-Jura,Arc Jurassien,,7261,,1,Kanton ausgeschrieben
16119,6730,Val Terbi,7.414803875,47.34864968,26,JU,2601,District de Delémont,Canton de Jura,Canton de Jura,Art. 1 Abs. 1,RIS Basel-Jura; RIS Suisse Occidentale,RIS Basel-Jura,Arc Jurassien,Agglomération de Delémont (AggloD),3229,,1,Kanton ausgeschrieben
13299,6741,Le Bémont (JU),7.014481366,47.26421954,26,JU,2602,District des Franches-Montagnes,Canton de Jura,Canton de Jura,Art. 1 Abs. 1,RIS Basel-Jura; RIS Suisse Occidentale,RIS Basel-Jura,Arc Jurassien,,310,,1,Kanton ausgeschrieben
13300,6742,Les Bois,6.905687196,47.1765165,26,JU,2602,District des Franches-Montagnes,Canton de Jura,Canton de Jura,Art. 1 Abs. 1,RIS Basel-Jura; RIS Suisse Occidentale,RIS Basel-Jura,Arc Jurassien,,1270,,1,Kanton ausgeschrieben
16624,6743,Les Breuleux,7.004336425,47.21201213,26,JU,2602,District des Franches-Montagnes,Canton de Jura,Canton de Jura,Art. 1 Abs. 1,RIS Basel-Jura; RIS Suisse Occidentale,RIS Basel-Jura,Arc Jurassien,,1602,,1,Kanton ausgeschrieben
13303,6745,Les Enfers,7.044698282,47.28771314,26,JU,2602,District des Franches-Montagnes,Canton de Jura,Canton de Jura,Art. 1 Abs. 1,RIS Basel-Jura; RIS Suisse Occidentale,RIS Basel-Jura,Arc Jurassien,,148,,1,Kanton ausgeschrieben
13306,6748,Les Genevez (JU),7.129482286,47.25649144,26,JU,2602,District des Franches-Montagnes,Canton de Jura,Canton de Jura,Art. 1 Abs. 1,RIS Basel-Jura; RIS Suisse Occidentale,RIS Basel-Jura,Arc Jurassien,,518,,1,Kanton ausgeschrieben
13308,6750,Lajoux (JU),7.137281641,47.27899868,26,JU,2602,District des Franches-Montagnes,Canton de Jura,Canton de Jura,Art. 1 Abs. 1,RIS Basel-Jura; RIS Suisse Occidentale,RIS Basel-Jura,Arc Jurassien,,701,,1,Kanton ausgeschrieben
14967,6751,Montfaucon,7.052668732,47.28234342,26,JU,2602,District des Franches-Montagnes,Canton de Jura,Canton de Jura,Art. 1 Abs. 1,RIS Basel-Jura; RIS Suisse Occidentale,RIS Basel-Jura,Arc Jurassien,,564,,1,Kanton ausgeschrieben
14968,6753,Muriaux,6.978961631,47.24609352,26,JU,2602,District des Franches-Montagnes,Canton de Jura,Canton de Jura,Art. 1 Abs. 1,RIS Basel-Jura; RIS Suisse Occidentale,RIS Basel-Jura,Arc Jurassien,,525,,1,Kanton ausgeschrieben
13312,6754,Le Noirmont,6.95670251,47.22441483,26,JU,2602,District des Franches-Montagnes,Canton de Jura,Canton de Jura,Art. 1 Abs. 1,RIS Basel-Jura; RIS Suisse Occidentale,RIS Basel-Jura,Arc Jurassien,,1909,,1,Kanton ausgeschrieben
14966,6757,Saignelégier,6.996050473,47.25605481,26,JU,2602,District des Franches-Montagnes,Canton de Jura,Canton de Jura,Art. 1 Abs. 1,RIS Basel-Jura; RIS Suisse Occidentale,RIS Basel-Jura,Arc Jurassien,,2580,,1,Kanton ausgeschrieben
13316,6758,Saint-Brais,7.113326517,47.30591699,26,JU,2602,District des Franches-Montagnes,Canton de Jura,Canton de Jura,Art. 1 Abs. 1,RIS Basel-Jura; RIS Suisse Occidentale,RIS Basel-Jura,Arc Jurassien,,222,,1,Kanton ausgeschrieben
13317,6759,Soubey,7.048512279,47.30841367,26,JU,2602,District des Franches-Montagnes,Canton de Jura,Canton de Jura,Art. 1 Abs. 1,RIS Basel-Jura; RIS Suisse Occidentale,RIS Basel-Jura,Arc Jurassien,,129,,1,Kanton ausgeschrieben
13318,6771,Alle,7.131147392,47.42559092,26,JU,2603,District de Porrentruy,Canton de Jura,Canton de Jura,Art. 1 Abs. 1,RIS Basel-Jura; RIS Suisse Occidentale,RIS Basel-Jura,Arc Jurassien,,1891,,1,Kanton ausgeschrieben
13320,6773,Beurnevésin,7.13739083,47.49306305,26,JU,2603,District de Porrentruy,Canton de Jura,Canton de Jura,Art. 1 Abs. 1,RIS Basel-Jura; RIS Suisse Occidentale,RIS Basel-Jura,Arc Jurassien,,117,,1,Kanton ausgeschrieben
13321,6774,Boncourt,7.016606072,47.49628206,26,JU,2603,District de Porrentruy,Canton de Jura,Canton de Jura,Art. 1 Abs. 1,RIS Basel-Jura; RIS Suisse Occidentale,RIS Basel-Jura,Arc Jurassien,,1185,,1,Kanton ausgeschrieben
13322,6775,Bonfol,7.153402028,47.47691457,26,JU,2603,District de Porrentruy,Canton de Jura,Canton de Jura,Art. 1 Abs. 1,RIS Basel-Jura; RIS Suisse Occidentale,RIS Basel-Jura,Arc Jurassien,,642,,1,Kanton ausgeschrieben
13325,6778,Bure,7.006436772,47.44138026,26,JU,2603,District de Porrentruy,Canton de Jura,Canton de Jura,Art. 1 Abs. 1,RIS Basel-Jura; RIS Suisse Occidentale,RIS Basel-Jura,Arc Jurassien,,633,,1,Kanton ausgeschrieben
13328,6781,Coeuve,7.097835454,47.45337908,26,JU,2603,District de Porrentruy,Canton de Jura,Canton de Jura,Art. 1 Abs. 1,RIS Basel-Jura; RIS Suisse Occidentale,RIS Basel-Jura,Arc Jurassien,,731,,1,Kanton ausgeschrieben
13329,6782,Cornol,7.164382696,47.40588764,26,JU,2603,District de Porrentruy,Canton de Jura,Canton de Jura,Art. 1 Abs. 1,RIS Basel-Jura; RIS Suisse Occidentale,RIS Basel-Jura,Arc Jurassien,,1016,,1,Kanton ausgeschrieben
13330,6783,Courchavon,7.056826466,47.43975931,26,JU,2603,District de Porrentruy,Canton de Jura,Canton de Jura,Art. 1 Abs. 1,RIS Basel-Jura; RIS Suisse Occidentale,RIS Basel-Jura,Arc Jurassien,,304,,1,Kanton ausgeschrieben
13331,6784,Courgenay,7.125978665,47.40309145,26,JU,2603,District de Porrentruy,Canton de Jura,Canton de Jura,Art. 1 Abs. 1,RIS Basel-Jura; RIS Suisse Occidentale,RIS Basel-Jura,Arc Jurassien,,2412,,1,Kanton ausgeschrieben
13332,6785,Courtedoux,7.042472487,47.40913048,26,JU,2603,District de Porrentruy,Canton de Jura,Canton de Jura,Art. 1 Abs. 1,RIS Basel-Jura; RIS Suisse Occidentale,RIS Basel-Jura,Arc Jurassien,,735,,1,Kanton ausgeschrieben
13336,6789,Fahy,6.95229755,47.41777952,26,JU,2603,District de Porrentruy,Canton de Jura,Canton de Jura,Art. 1 Abs. 1,RIS Basel-Jura; RIS Suisse Occidentale,RIS Basel-Jura,Arc Jurassien,,340,,1,Kanton ausgeschrieben
15626,6790,Fontenais,7.080937088,47.40296035,26,JU,2603,District de Porrentruy,Canton de Jura,Canton de Jura,Art. 1 Abs. 1,RIS Basel-Jura; RIS Suisse Occidentale,RIS Basel-Jura,Arc Jurassien,,1697,,1,Kanton ausgeschrieben
13339,6792,Grandfontaine,6.939291727,47.39164029,26,JU,2603,District de Porrentruy,Canton de Jura,Canton de Jura,Art. 1 Abs. 1,RIS Basel-Jura; RIS Suisse Occidentale,RIS Basel-Jura,Arc Jurassien,,390,,1,Kanton ausgeschrieben
13347,6800,Porrentruy,7.078195991,47.41644319,26,JU,2603,District de Porrentruy,Canton de Jura,Canton de Jura,Art. 1 Abs. 1,RIS Basel-Jura; RIS Suisse Occidentale,RIS Basel-Jura,Arc Jurassien,,6466,,1,Kanton ausgeschrieben
13353,6806,Vendlincourt,7.149564556,47.45082222,26,JU,2603,District de Porrentruy,Canton de Jura,Canton de Jura,Art. 1 Abs. 1,RIS Basel-Jura; RIS Suisse Occidentale,RIS Basel-Jura,Arc Jurassien,,559,,1,Kanton ausgeschrieben
